,Country,CustomerID
0,United Kingdom,17850.0
9,United Kingdom,13047.0
26,France,12583.0
46,United Kingdom,13748.0
65,United Kingdom,15100.0
82,United Kingdom,15291.0
86,United Kingdom,14688.0
105,United Kingdom,17809.0
106,United Kingdom,15311.0
141,United Kingdom,14527.0
142,United Kingdom,16098.0
155,United Kingdom,18074.0
168,United Kingdom,17420.0
175,United Kingdom,16029.0
183,United Kingdom,16250.0
197,Australia,12431.0
211,United Kingdom,17511.0
235,United Kingdom,17548.0
242,United Kingdom,13705.0
252,United Kingdom,13747.0
253,United Kingdom,13408.0
264,United Kingdom,13767.0
296,United Kingdom,17924.0
298,United Kingdom,13448.0
318,United Kingdom,15862.0
382,United Kingdom,15513.0
385,Netherlands,12791.0
387,United Kingdom,16218.0
415,United Kingdom,14045.0
435,United Kingdom,14307.0
483,United Kingdom,17908.0
541,United Kingdom,17920.0
622,United Kingdom,
623,United Kingdom,12838.0
682,United Kingdom,13255.0
688,United Kingdom,16583.0
702,United Kingdom,18085.0
711,United Kingdom,13758.0
728,United Kingdom,13694.0
734,United Kingdom,15983.0
766,United Kingdom,14849.0
781,United Kingdom,17968.0
868,United Kingdom,16210.0
882,United Kingdom,17897.0
917,United Kingdom,17377.0
932,United Kingdom,16552.0
937,United Kingdom,17181.0
940,United Kingdom,17951.0
945,United Kingdom,14729.0
1016,United Kingdom,12748.0
1017,United Kingdom,15012.0
1071,United Kingdom,12868.0
1083,United Kingdom,17572.0
1087,United Kingdom,14078.0
1100,United Kingdom,14001.0
1109,Germany,12662.0
1124,United Kingdom,15525.0
1181,United Kingdom,14237.0
1190,United Kingdom,17905.0
1213,United Kingdom,15485.0
1236,Norway,12433.0
1309,United Kingdom,16955.0
1315,United Kingdom,15350.0
1320,United Kingdom,15605.0
1332,United Kingdom,18144.0
1335,United Kingdom,15922.0
1346,United Kingdom,14594.0
1377,United Kingdom,15165.0
1404,EIRE,14911.0
1425,United Kingdom,16456.0
1441,United Kingdom,17841.0
1973,Germany,12472.0
1989,United Kingdom,17346.0
2029,United Kingdom,17643.0
2103,United Kingdom,17873.0
2112,United Kingdom,13093.0
2125,United Kingdom,12921.0
2140,United Kingdom,13468.0
2158,United Kingdom,17760.0
2171,United Kingdom,16928.0
2177,United Kingdom,16048.0
2185,United Kingdom,16274.0
2252,United Kingdom,14496.0
2257,United Kingdom,14696.0
2275,United Kingdom,16539.0
2296,United Kingdom,17025.0
2301,United Kingdom,13777.0
2329,United Kingdom,17690.0
2346,United Kingdom,12947.0
2365,United Kingdom,17460.0
2366,United Kingdom,18229.0
2373,United Kingdom,14142.0
2395,United Kingdom,17069.0
2407,United Kingdom,13065.0
2421,United Kingdom,14606.0
3053,United Kingdom,16835.0
3058,United Kingdom,15235.0
3063,United Kingdom,13576.0
3080,United Kingdom,18011.0
3108,United Kingdom,13090.0
3112,United Kingdom,15694.0
3146,United Kingdom,14741.0
3155,United Kingdom,13715.0
3170,United Kingdom,14092.0
3171,United Kingdom,17732.0
3189,United Kingdom,12855.0
3210,United Kingdom,15752.0
3239,United Kingdom,17855.0
3258,United Kingdom,14047.0
3270,United Kingdom,17925.0
3271,United Kingdom,13941.0
3282,United Kingdom,17017.0
3305,United Kingdom,14135.0
3328,United Kingdom,13108.0
3338,Germany,12471.0
3339,United Kingdom,15601.0
3387,United Kingdom,13418.0
3410,United Kingdom,14766.0
3411,United Kingdom,15658.0
3461,United Kingdom,14388.0
3482,United Kingdom,14901.0
3500,United Kingdom,18041.0
3514,United Kingdom,15955.0
3534,United Kingdom,15070.0
3602,United Kingdom,16244.0
3665,United Kingdom,15111.0
3693,United Kingdom,14390.0
3721,United Kingdom,16546.0
3727,United Kingdom,15260.0
3744,United Kingdom,13305.0
3749,United Kingdom,14491.0
3753,United Kingdom,14060.0
3761,United Kingdom,15923.0
3782,United Kingdom,16752.0
3791,United Kingdom,17287.0
3842,United Kingdom,15363.0
3858,United Kingdom,12915.0
3871,United Kingdom,15544.0
3897,United Kingdom,15738.0
3911,United Kingdom,16042.0
3913,United Kingdom,17381.0
3920,United Kingdom,15827.0
3927,United Kingdom,14180.0
3946,United Kingdom,13117.0
